sender,recipient,count
alice@example.com,bob@example.com,1
bob@example.com,charlie@example.com,1
charlie@example.com,diana@example.com,1
diana@example.com,eve@example.com,1
eve@example.com,frank@example.com,1
frank@example.com,grace@example.com,1
grace@example.com,henry@example.com,1
henry@example.com,iris@example.com,1
iris@example.com,jack@example.com,1
spammer_heavy@example.com,alice@example.com,25
spammer_heavy@example.com,bob@example.com,25
spammer_heavy@example.com,charlie@example.com,25
spammer_heavy@example.com,diana@example.com,25
spammer_heavy@example.com,eve@example.com,25
spammer_heavy@example.com,frank@example.com,25
spammer_heavy@example.com,grace@example.com,25
spammer_heavy@example.com,henry@example.com,25
spammer_heavy@example.com,iris@example.com,25
spammer_heavy@example.com,jack@example.com,25
suspicious_moderate@example.com,alice@example.com,10
suspicious_moderate@example.com,bob@example.com,10
suspicious_moderate@example.com,charlie@example.com,10
suspicious_moderate@example.com,diana@example.com,10
suspicious_moderate@example.com,eve@example.com,10
