sender,recipient,count
alice@example.com,bob@example.com,1
bob@example.com,charlie@example.com,2
charlie@example.com,diana@example.com,1
diana@example.com,eve@example.com,1
eve@example.com,frank@example.com,2
frank@example.com,grace@example.com,1
grace@example.com,henry@example.com,1
henry@example.com,iris@example.com,2
iris@example.com,jack@example.com,1
alice@example.com,charlie@example.com,1
bob@example.com,diana@example.com,1
charlie@example.com,eve@example.com,1
suspicious1@example.com,alice@example.com,8
suspicious1@example.com,bob@example.com,8
suspicious1@example.com,charlie@example.com,8
suspicious1@example.com,diana@example.com,8
